Company Name,Registration code,VAT,Manager,Address,Website,Work hours,SS insurer code,Transport,Authorized capital,Company age,Employees,Average salary,Social insurance taxes,Sales revenue From,Sales revenue To,Rating,No. Rated,Category,Other Categories,Facebook
"Finwise LT, UAB",303071977,LT100010238815,Olga Rychter,"Savanorių pr. 178-309, LT-03154 Vilnius",http://www.finwise.lt,I-V 08.00-17.00,2218645,2021-01: 1 car (uses),"2,896.00 €",7 years 9 months 5 days,5,626.25 € (2021-01),583.34 € (2021-01),100001,"200000
																",8.8,162,Accounting services,[],https://www.facebook.com/buhalterine.apskaita.vilniuje
"Dekvota, UAB",141658768 (old code 4165876),LT100003080411,"Tatjana Kosmačiova, direktorė","Gedviliškės g. 5, LT-92286 Klaipėda",http://www.dekvota.lt,I-V 08:00-18:00,347406,2021-01: 2 cars (owns),"2,896.00 €",22 years 11 months 3 days,3,"1,253.68 € (2021-01)","1,175.97 € (2021-01)",100001,"200000
																",4.8,20,Accounting services,[],
"Findir Consulting, UAB",300621191,LT100002795510,Mindaugas Dabulis,"Ulonų g. 5, LT-08240 Vilnius",http://www.findir.lt,I-V 09.00-17.00,777263,"2021-01: 3 cars (1 owns, 2 uses)","2,896.00 €",14 years 3 months 3 days,9,"2,105.56 € (2021-01)","3,162.67 € (2021-01)",300001,"500000
																",6.5,53,Accounting services,[],
"UAB ""Gisera""",300597420,LT100002928314,Sigita Kumpikienė,"Savanorių pr. 360-28, LT-49383 Kaunas",http://www.gisera.lt,,848126,2021-01: 2 cars (uses),"2,896.00 €",14 years 5 months 24 days,14,"1,702.48 € (2021-01)","4,034.96 € (2021-01)",300001,"500000
																",5.1,60,Accounting services,[],
"Spinoza, UAB",302841268,,"Rūta de Chambonas, direktorė","Juozapavičiaus g. 9-410, LT-03234 Vilnius",http://www.orixel.com,"I-V, 9-19",2176046,,"2,896.00 €",8 years 6 months 17 days,3,,,20001,"30000
																",8.8,46,Accounting services,[],
"Visi Apskaitos Sprendimai, UAB",300607430,LT100002852310,"Rita Kapočienė, direktorė","Kęstučio g. 37, LT-08121 Vilnius",http://www.vasjums.lt,I-V 09.00-17.00,775577,2021-01: 1 car (owns),"2,896.20 €",14 years 4 months 17 days,8,797.02 € (2021-01),"1,264.95 € (2021-01)",200001,"300000
																",4.4,45,Accounting services,[],
"ACL, MB",125336757,LT253367515,"Renata Ivaškevičiūtė, direktorė","Bendorėlių 2-oji al. 8, Bendoriai, LT-14196 Vilniaus r.",http://www.gerosbuhalteres.lt,I-V 08.00-17.00,62573,"2021-01: 3 cars (2 owns, 1 uses)",,20 years 7 months 2 days,3,,,200001,"300000
																",5.0,57,Accounting services,[],
"Margrupė, UAB",304430995,LT100010587015,"Marytė Kalvaitienė, direktorė","Leičių g. 11-134, LT-12109 Vilnius",http://www.margrupe.lt,8-17,2882313,2021-01: 1 car (owns),"2,500.00 €",4 years 2 months 26 days,5,690.19 € (2021-01),645.07 € (2021-01),30001,"50000
																",5.4,24,Accounting services,[],
"Konjūra, UAB",304256391,LT100010189510,Jūratė Pakeltytė-Varnienė,"Gebenių g. 47, LT-46326 Kaunas",http://www.konjura.lt,,2746391,2021-01: 1 car (owns),"2,500.00 €",4 years 9 months 17 days,4,289.00 € (2021-01),275.96 € (2021-01),100001,"200000
																",9.4,5,Accounting services,[],
"Offerens, UAB",304474447,LT100010767215,"Olegas Fominas, direktorius","K. Donelaičio g. 70B, LT-44248 Kaunas",http://www.offerens.lt,,2939801,,"10,000.00 €",3 years 11 months 27 days,3,,,50001,"100000
																",5.9,201,Accounting services,[],
"Euromanai, UAB",304505889,LT100012026719,Dainora Mangirdaitė,"Putinų g. 10-56, LT-76209 Šiauliai",http://www.euromanai.lt,I-V 09.00-17.00,2954235,,"2,500.00 €",3 years 10 months 19 days,3,,,20001,"30000
																",9.1,20,Accounting services,[],https://www.facebook.com/Euromanai/
"MB ""Kodralita""",304157347,LT100013600618,Direktorė Drąsutė Koškina,"Islandijos pl. 107-45, LT-49180 Kaunas",http://kodralita.lt,08:00-20:00 (nuotolinis darbas),2395107,,,5 years 1 month 28 days,3,,,30001,"50000
																",8.8,1378,Accounting services,[],https://www.facebook.com/kodralita/
"Apskaita ir finansai, UAB",300845595,LT100009151417,"Laima Slavinskienė, direktorė","Beržų g. 34, Plikiai, LT-96232 Klaipėdos r.",http://www.apskaita-finansai-teise.lt,,837551,,"2,900.00 €",13 years 9 months 10 days,2,,,20001,"30000
																",4.7,17,Accounting services,[],
"Dvigubas įrašas apskaita, UAB",301841938,LT100004242013,"Lolita Jucaitienė, direktorė","Vasario 16-osios g. 10-48, LT-68301 Marijampolė",,,2000168,2021-01: 2 cars (owns),"2,896.00 €",12 years 6 months 11 days,9,"1,163.06 € (2021-01)","1,810.94 € (2021-01)",200001,"300000
																",3.8,121,Accounting services,[],
"Imfina, UAB",304177225,LT100009957619,"Irma Maruškienė, direktorė","Vilniaus g. 31, LT-01402 Vilnius",http://www.imfina.lt,I-V: 8.00-17.00,2429406,,"2,600.00 €",5 years 19 days,4,900.00 € (2021-01),800.83 € (2021-01),20001,"30000
																",9.2,37,Accounting services,[],https://www.facebook.com/imfina
"Integre, UAB",300622489,LT100002803012,Žana Kel,"Sporto g. 18, LT-09238 Vilnius",http://www.integre.lt,I-V 08.00-17.00,777536,2021-01: 2 cars (uses),"17,376.00 €",14 years 2 months 28 days,74,"1,737.81 € (2021-01)","22,613.05 € (2021-01)",1000001,"2000000
																",4.5,156,Accounting services,[],
"Verslolita, MB",304018358,,Lina Lenkaitienė,"Stasio Lozoraičio g. 3B-54, Garliava, LT-53221 Kauno r.",https://www.verslolita.lt,,2327941,,,5 years 10 months 24 days,1,,,20001,"30000
																",10.0,120,Accounting services,[],
"Finotika, UAB",268972160,LT100002174216,Violeta Pilvelienė,"Gedimino pr. 20-36, LT-01103 Vilnius",https://finotika.business.site,,230867,,"2,896.00 €",18 years 2 months 22 days,3,,,50001,"100000
																",8.9,13,Accounting services,[],
"Profinas, UAB",303159078,LT100009786614,"Lijana Lusienė, direktorė","Konstitucijos pr. 26, LT-08105 Vilnius",http://www.profinas.lt,9-18,2240246,,"2,896.00 €",7 years 4 months 30 days,9,"1,116.44 € (2021-01)","1,852.98 € (2021-01)",200001,"300000
																",7.1,72,Accounting services,[],https://www.facebook.com/profinas.lt/?fref=ts
"Apskaitos ir Verslo Sprendimų Biuras, UAB",300659683,LT100002992114,Virginija Macijauskaitė,"Buivydiškių g. 12A-100, LT-07194 Vilnius",http://www.avsb.lt,I-V 09.00-18.00,844317,2021-01: 1 car (uses),"5,792.00 €",13 years 11 months 18 days,2,,,30001,"50000
																",6.5,20,Accounting services,[],
Contus Okonomi AS filialas,303483048,LT100009053518,Marius Buivydas,"Žemaitės g. 21, LT-03118 Vilnius",http://www.contus.no,9.00-18.00,2311145,,,6 years 2 months 25 days,7,"3,077.28 € (2021-01)","3,734.29 € (2021-01)",500001,"1000000
																",7.8,20,Accounting services,[],https://www.facebook.com/contus.no/
"Skaitmeninė buhalterija, MB",304872369,,"Jurgita Keblienė, direktorė","Raudondvario pl. 188-15, LT-47149 Kaunas",http://www.skbu.lt,9-17,,,,2 years 7 months 24 days,,,,0,"5000
																",10.0,2,Accounting services,[],https://www.facebook.com/skaitmenine.buhalterija.1
"UAB ""Versluma""",302728466,LT100011370710,"Natalija Gudaitienė, direktorė","Justiniškių g. 62A-214, LT-05239 Vilnius",,10-18,2144668,2021-01: 1 car (owns),"2,896.00 €",9 years 11 days,3,,,50001,"100000
																",5.6,27,Accounting services,[],
"Virtualus buhalteris, MB",305416190,,"Nadežda Akmanova, direktorė","Noragiškių g. 33, LT-08410 Vilnius",https://www.virtualusbuhalteris.lt,,,,,1 year 1 month 27 days,,,,,,3.4,16,Accounting services,[],https://www.facebook.com/virtualusbuhalteris
"Apskaita ir mokesčiai, UAB",302532898,LT100011047413,Natalija Moseiko,"Guobų g. 3, Bukiškis, LT-14182 Vilniaus r.",http://www.airm.lt,,2063365,2021-01: 1 car (owns),"2,896.00 €",10 years 7 months 4 days,1,,,30001,"50000
																",6.7,23,Accounting services,[],
"UAB ""Aspekta""",301791129,LT100005859819,"Jurijus Glinevičius, direktorius","Kaštonų g. 12-2, Avižienių k., LT-14185 Vilniaus r.",http://www.aspekta.lt,,1004848,2021-01: 1 car (uses),"2,900.00 €",12 years 7 months 25 days,3,,,50001,"100000
																",8.0,23,Accounting services,[],
Contus Ekonomi AB filialas,303965952,LT100009481519,Marius Buivydas,"Žemaitės g. 21, LT-03118 Vilnius",http://www.contus-accounting.se,9.00-18.00,2326617,,,5 years 11 months 3 days,4,"2,050.13 € (2021-01)","1,905.90 € (2021-01)",200001,"300000
																",7.6,19,Accounting services,[],https://www.facebook.com/contus.se/
"Finaida, MB",305610010,LT100013367115,Lina Stasiulytė,"Sodo g. 11, Kairiai, LT-80113 Šiaulių r.",http://www.finaida.lt,"I-V 8:17, VI 10:00-14",3733885,,,6 months 9 days,1,,,,,,,Accounting services,[],https://www.facebook.com/Finaida-MB-apskaitos-paslaugos-105183571349634/
"Finsana, MB",303292616,,"Sandra Zybartienė, direktorė","Vatušių g. 39, LT-90309 Rietavas",http://www.finsana.lt,I-V 8-17 val.,2271691,,,6 years 10 months 15 days,2,,,20001,"30000
																",7.1,16,Accounting services,[],https://www.facebook.com/Finsana-1503920263199256
"Inovatyvūs partneriai, UAB",304932909,LT100011931313,"Andrius Rimgaila, direktorius","Tilžės g. 60, LT-91108 Klaipėda",http://www.i-partneriai.lt,,3339207,,"2,500.00 €",2 years 4 months 22 days,11,"1,838.25 € (2021-01)","3,770.88 € (2021-01)",300001,"500000
																",8.0,3,Accounting services,[],
"Verslidėja, MB",304412463,LT100010485315,"Virginija Čepienė, direktorė","Panevėžio g. 18-39, LT-42162 Rokiškis",http://www.verslideja.lt,,2848309,,,4 years 4 months 16 days,4,596.44 € (2021-01),553.52 € (2021-01),30001,"50000
																",6.0,14,Accounting services,[],
"UAB ""VIPIN""",302656821,,"Vladislavas Zaborovskis, direktorius","Žemaitės g. 22-3, LT-03201 Vilnius",http://vipin.lt,I-V  9.00 - 17.00,2120459,2021-01: 1 car (uses),"2,896.00 €",9 years 6 months 15 days,2,,,30001,"50000
																",3.4,8,Accounting services,[],
"ADT apskaita, UAB",303970853,LT100011856817,Dangira Čiuknienė,"Vasario 16-osios g. 33-6, LT-76350 Šiauliai",http://www.adtapskaita.lt,8-17,2326358,,"2,500.00 €",5 years 11 months 7 days,8,"1,143.50 € (2021-01)","1,637.19 € (2021-01)",50001,"100000
																",8.1,23,Accounting services,[],
"UAB ""Apskaitos dirbtuvės""",300621622,LT100011968817,Direktorė Jurgita Lengvinienė,"Naujakiemio g. 27-60, LT-94204 Klaipėda",http://www.apskaitosdirbtuves.lt,9.00 - 17.00,869663,2021-01: 2 cars (owns),"5,792.00 €",14 years 3 months 1 day,4,643.37 € (2021-01),622.66 € (2021-01),30001,"50000
																",9.0,8,Accounting services,[],
"Arfina, UAB",302589714,,Arūnas Časas,"Perkūnkiemio g. 12-62, LT-12113 Vilnius",http://www.arfina.lt,9-18 val.,2091987,2021-01: 1 car (owns),"2,896.20 €",10 years 27 days,2,,,20001,"30000
																",7.4,11,Accounting services,[],
"Elante, UAB",302347579,,"Aldona Petkūnienė, direktorė","Papilėnų g. 15-49, LT-06222 Vilnius",http://www.elante.lt,,2019824,,"2,896.00 €",11 years 8 months 24 days,3,,,10001,"20000
																",7.8,29,Accounting services,[],
"Finfox, UAB",302279530,LT100004450915,"Violeta Rimkutė, direktorius","Trinapolio g. 9A-36, LT-08337 Vilnius",http://www.finfox.lt,,2003932,"2021-01: 2 cars (1 owns, 1 uses)","2,896.00 €",12 years 2 months 22 days,3,,,50001,"100000
																",8.0,7,Accounting services,[],
"Skaičių ratas, UAB",301151887,LT100010639011,Kristina Šteimantienė,"Melioratorių g. 1, LT-72112 Tauragė",http://www.skaiciuratas.lt,,898752,2021-01: 1 car (uses),"2,500.00 €",13 years 4 months 18 days,5,938.40 € (2021-01),"1,126.45 € (2021-01)",,,7.9,34,Accounting services,[],
"VAS sprendimai, UAB",303317222,,Anžela Ostrouch,"Mozūriškių g. 17-36, LT-06298 Vilnius",http://www.vassprendimai.lt,9.00-18.00,2277997,,"2,896.00 €",6 years 9 months 7 days,2,,,5001,"10000
																",9.8,32,Accounting services,[],
"Alatėja, MB",301245774,LT100004372011,Vilma Kocienė,"Minijos g. 127-3, LT-93213 Klaipėda",http://www.alateja.lt,I-V 08:00-17:00,936603,2021-01: 1 car (uses),"2,896.20 €",13 years 3 months 19 days,3,,,50001,"100000
																",6.3,24,Accounting services,[],
"Apskaitos takas, UAB",148518473,LT485184716,"Nerijus Savickas, direktorius","Stoties g. 49-1, LT-35105 Panevėžys",http://www.apskaitostakas.lt,I-V 08:00-17:00,231770,2021-01: 1 car (uses),"3,475.20 €",17 years 9 months 26 days,10,840.75 € (2021-01),"1,674.13 € (2021-01)",100001,"200000
																",9.1,16,Accounting services,[],
"CO finansai, UAB",300584597,LT100002547517,"Virginija Kukarėnė, direktorė","Savanorių pr. 1-21, LT-03116 Vilnius",http://www.cof.lt,I-V 09.00-17.00,771818,2021-01: 1 car (uses),"2,896.00 €",14 years 7 months 12 days,13,"1,689.14 € (2021-01)","3,903.84 € (2021-01)",500001,"1000000
																",5.9,39,Accounting services,[],
"UAB ""Eringa""",301732732,,"Edvinas Liutkevičius, direktorius","V. Krėvės pr. 75-38, LT-50356 Kaunas",http://taxsupport.lt,,1020961,,"2,896.00 €",12 years 9 months 12 days,2,,,20001,"30000
																",9.9,40,Accounting services,[],
"KLAIMINA, MB",300887644,LT100010496714,Direktorė Laima Žižliauskienė,"Gedimino g. 123-28, LT-56147 Kaišiadorys",http://www.klaimina.lt,I-V 08:00-17:00,846561,2021-01: 1 car (uses),,13 years 8 months 10 days,4,,,50001,"100000
																",6.4,17,Accounting services,[],
"Mano buhalterė, UAB",304952452,,"Virginijus Daukšas, direktorius","Aušros g 4, Jauniūnų k., LT-84259 Joniškio r.",http://manobuhaltere.lt,,3352336,2021-01: 1 car (owns),"2,500.00 €",2 years 3 months 17 days,3,,,10001,"20000
																",8.8,9,Accounting services,[],https://www.facebook.com/UAB-Mano-buhalter%C4%97-105969217526901
"Vilkonta, UAB",304284412,LT100010226317,"Viliūnė Mažeikienė, direktorė","Gedminų g. 10-81, LT-94186 Klaipėda",http://www.vilkonta.lt,9.00-17.00,2764073,2021-01: 1 car (uses),"3,000.00 €",4 years 8 months 24 days,2,,,10001,"20000
																",7.0,9,Accounting services,[],
"VIP buhalterija, MB",303261916,LT100008937619,"Laurynas Vertelis, direktorius","Ąžuolyno g. 10, Gervėnupio k., LT-53162 Kauno r.",http://www.vipbuhalterija.lt,"I-IV 8:00-17:00, V 8:00-15:45",2265204,"2021-01: 2 cars (1 owns, 1 uses)",,6 years 11 months 20 days,1,,,50001,"100000
																",8.0,134,Accounting services,[],https://www.facebook.com/vipbuhalterija/
"Asistas, UAB",304101619,,,"Vytauto g. 9B, LT-90123 Plungė",http://asistas.lt,09-17,2368028,,"2,500.00 €",5 years 5 months 3 days,,,,0,"5000
																",7.6,9,Accounting services,[],https://www.facebook.com/search/top/?q=apskaita%20ir%20buhalterija
"IĮ ""AVA LT""",301674599,,"Aurelija Račkauskienė, direktorė","Rugių g. 18-40, LT-08419 Vilnius",http://www.avabuhalteris.lt,I - V 9:00 iki 18:00  VI ir VII - nedirbame,876498,2021-01: 1 car (owns),,12 years 10 months 24 days,6,569.65 € (2021-01),641.10 € (2021-01),,,6.7,11,Accounting services,[],
"Dokdata, UAB",305016082,LT100012265117,Dovilė Zulanaitė,"Vytenio g. 46, LT-03229 Vilnius",http://dokdata.eu,,3397001,,"650,000.00 €",2 years 23 days,7,"1,689.59 € (2021-01)","2,628.77 € (2021-01)",200001,"300000
																",10.0,4,Accounting services,[],
"FINORSTA, UAB",302461675,LT100009730917,"Irena Norvaišienė, direktorė","Kranto g. 1, LT-92335 Klaipėda",http://www.finorsta.lt,I-IV 8.00-17.00; V 8.00-15.45; pertrauka 12.00-12.45,2037999,2021-01: 1 car (owns),"2,896.00 €",11 years 3 months 2 days,3,,,50001,"100000
																",5.9,78,Accounting services,[],
"Finra, MB",302683245,LT100013079412,,"Degučių g. 4-1, LT-14121 Vilnius",http://www.finra.lt,I-V 9-18,2131484,2021-01: 1 car (owns),,9 years 3 months 28 days,1,,,10001,"20000
																",7.0,49,Accounting services,[],
"Lapės apskaita, UAB",304742393,LT100011364110,"Daiva Strazdienė, direktorė","Veiverių g. 134, LT-46352 Kaunas",http://www.lapesapskaita.lt,,3130595,,"2,500.00 €",3 years 1 month 30 days,7,342.00 € (2021-01),494.36 € (2021-01),20001,"30000
																",10.0,2,Accounting services,[],https://www.facebook.com/lapesapskaita
"Norian Accounting, UAB",300517495,LT100002093811,"Lina Maroščikienė, generalinė direktorė","Konstitucijos pr. 21C, LT-08130 Vilnius",http://www.norian.lt/,,764294,,"3,185.60 €",15 years 2 months 12 days,287,"2,118.34 € (2021-01)","118,348.26 € (2021-01)",5000001,"10000000
																",7.3,121,Accounting services,[],
"Sinastė, UAB",125703267,,,"Kelmytės vs. 4, Kelmytė, LT-13211 Vilniaus r.",,,86826,,"2,896.00 €",19 years 6 months 6 days,2,,,0,"5000
																",8.0,2,Accounting services,[],
"UAB ""Z139""",300650346,,"Laura Mikuckytė, direktorė","Moliakelio g. 79, LT-46114 Kaunas",http://www.buhalterinespaslaugos.eu,,989508,2021-01: 1 car (uses),"2,896.00 €",14 years 10 days,4,383.38 € (2021-01),367.40 € (2021-01),30001,"50000
																",7.3,33,Accounting services,[],
"Aletas, UAB",303311397,LT100009726515,"Danutė Jociuvienė, direktorė","Draugystės pr. 8-51, LT-77150 Šiauliai",http://buhalteris-apskaita.lt,7:30  18:30,2276417,,"2,896.00 €",6 years 9 months 17 days,2,,,5001,"10000
																",2.1,11,Accounting services,[],
UAB „Apskaitos dėsnis“,303547351,,Dovilė Kovikaitė,"Lazdynų g. 21, LT-04129 Vilnius",http://www.apskaitosdesnis.lt,I-V 9.00-17.00,2315932,2021-01: 1 car (uses),"2,500.00 €",6 years 1 month 11 days,3,,,30001,"50000
																",4.7,39,Accounting services,[],
"Baltos knygos, MB",303369920,LT100008833912,"Edita Krukienė, direktorė","Tramvajų g. 2-16, LT-10322 Vilnius",http://www.baltosknygos.lt,,2291752,,,6 years 6 months 20 days,1,,,10001,"20000
																",3.7,19,Accounting services,[],
"Buhalterinės apskaitos garantas, MB",304607940,,"Sigitas Neniškis, direktorius","Partizanų g. 42A-7, LT-49471 Kaunas",http://www.bagarantas.lt,,3065352,2021-01: 1 car (owns),,3 years 6 months 16 days,1,,,10001,"20000
																",7.8,12,Accounting services,[],
"Felamena, UAB",300065531,LT100003047712,"Felicija Malyško-Komogorova, direktorius","Gvazdikų g. 170, LT-10247 Vilnius",http://www.felamena.lt,I-V 09:00-18:00,738715,2021-01: 2 cars (uses),"2,896.20 €",16 years 3 months 27 days,5,"1,363.83 € (2021-01)","1,452.25 € (2021-01)",200001,"300000
																",7.7,14,Accounting services,[],
"Lucus, UAB",300528812,,"Viktoras Arkušinas, Direktorius","Naikupės g. 17-18, LT-93204 Klaipėda",,,894801,,"2,896.00 €",15 years 1 month 10 days,1,,,20001,"30000
																",8.1,49,Accounting services,[],
MB MODERNI BUHALTERIJA,302885624,LT100007194412,"Gražvydas Šukys, direktorius","Kraigo g. 12-2, LT-47222 Kaunas",http://www.modernibuhalterija.lt/,I-V 7:30-11:30 12:30-16:30,2184523,2021-01: 1 car (uses),,8 years 4 months 24 days,1,,,30001,"50000
																",4.6,24,Accounting services,[],
Olgos Rychter individuali veikla,,,Olga Rychter,"Smolensko g. 6, LT-03201 Vilnius",http://www.apskaita.net,,,,,,,,,,,6.3,20,Accounting services,[],
"Razmalita, UAB",300653627,LT100002946716,"Artūras Razma, direktorius","Kapsų g. 32, LT-91269 Klaipėda",http://www.razmalita.lt,,963528,2021-01: 1 car (uses),"2,896.00 €",14 years 3 days,6,"1,112.80 € (2021-01)","1,222.44 € (2021-01)",100001,"200000
																",6.2,29,Accounting services,[],
"Rinaldus, MB",305159600,LT100012376411,"Laura Nikiforova, direktorė","Šarkinės g. 5-30, LT-26128 Elektrėnai",,,3430583,"2021-01: 2 cars (1 owns, 1 uses)",,1 year 9 months 20 days,2,,,20001,"30000
																",7.9,13,Accounting services,[],
"Rosega, VšĮ",301733841,LT100004078617,,"Gudobelių g. 3C-3, LT-00185 Palanga",,8.00-17.00,1070120,2021-01: 1 car (owns),,12 years 9 months 7 days,13,"1,266.67 € (2021-01)","4,368.22 € (2021-01)",10001,"20000
																",3.0,21,Accounting services,[],
"Smiga, UAB",300829438,,MIndaugas Stonys,"Ežero g. 65-2, LT-76243 Šiauliai",http://www.smiga.lt,,968398,2021-01: 1 car (uses),"22,910.00 €",13 years 9 months 12 days,5,,,30001,"50000
																",6.7,43,Accounting services,[],
"UAB ""Apskaitos ir audito Garantas""",300821879,LT100003216917,"Ieva Plekavičiūtė, direktorė","Vytauto g. 76B-3, LT-72216 Tauragė",,8.00-17.00,898388,2021-01: 1 car (owns),"2,896.00 €",13 years 9 months 16 days,6,544.00 € (2021-01),655.95 € (2021-01),50001,"100000
																",5.3,19,Accounting services,[],
"Vakarų apskaitos grupė, UAB",142180545,LT421805417,Tomas Pauliukas,"Minijos g. 180, LT-93269 Klaipėda",http://www.wsy.lt,I-IV 07.00-16.00; V 07.00-15.00,926233,,"2,896.00 €",17 years 2 months 15 days,15,"2,611.75 € (2021-01)","6,560.96 € (2021-01)",500001,"1000000
																",6.4,7,Accounting services,[],
"Vidimus, MB",300156664,LT100003462419,Vida Grigaliūnaitė,"Lauko g. 9, Nemėžis, LT-13263 Vilniaus r.",http://www.vidimus.lt,I-V 9.00-17.00,763225,2021-01: 1 car (owns),,15 years 3 months 16 days,2,,,5001,"10000
																",8.5,2,Accounting services,[],
"Akademijos projektai, UAB",305174075,,"Ramūnas Išganaitis, direktorius","Tako g. 8, Akademija, LT-53356 Kauno r.",https://akademijosprojektai.lt,,3443501,,"2,500.00 €",1 year 9 months 5 days,2,,,0,"5000
																",10.0,4,Accounting services,[],https://www.facebook.com/akademijosprojektai/
"Apskaita 365, UAB",305442559,,Ieva Tamašauskaitė,"Fabijoniškių g. 43-63, LT-07119 Vilnius",http://apskaita365.lt/,,3549940,,"2,500.00 €",1 year 1 month 4 days,1,,,,,6.1,19,Accounting services,[],
"Apskaita lengvai, UAB",303004398,,,"Saltoniškių g. 57, LT-06287 Vilnius",,I- IV 9-17; V - nedirbame,2203046,,"2,896.00 €",8 years 10 days,1,,,30001,"50000
																",9.0,418,Accounting services,[],
"Apskaitos galia, UAB",303123057,,"Dainora Kuprienė, direktorė","Pušų g. 38-42, Gargždai, LT-96145 Klaipėdos r.",,,2232980,,"2,896.00 €",7 years 6 months 13 days,1,,,5001,"10000
																",9.0,2,Accounting services,[],
"UAB ""Fabijas""",302601757,,"Gediminas Malinauskas, direktorius","Gamyklos g. 3-8, LT-89231 Mažeikiai",http://www.fabijas.lt,8-17 val.,2096639,2021-01: 1 car (owns),"2,896.00 €",9 years 11 months 24 days,1,,,5001,"10000
																",5.9,26,Accounting services,[],
"Finansų garantas, UAB",304398533,LT100010412511,"Oleg Staševskij, direktorius","Architektų g. 74-23, LT-04108 Vilnius",,,2820851,,"2,500.00 €",4 years 5 months 17 days,6,"1,337.50 € (2021-01)","1,280.45 € (2021-01)",30001,"50000
																",7.1,10,Accounting services,[],
"Išmanioji apskaita, UAB",304152492,LT100009864110,Laisvūnas Daukša,"Vyturėlio g. 11, LT-82187 Radviliškis",,I-V: 8:30 - 17:30,2393340,,"3,000.00 €",5 years 2 months 12 days,4,,,50001,"100000
																",7.2,30,Accounting services,[],
UAB JARAGĖ'S,302337503,,"Jurgita Čėsnienė, direktorius","Europos pr. 91-201, LT-46364 Kaunas",http://www.jarages.lt,8-18,2016195,2021-01: 1 car (owns),"2,896.20 €",11 years 9 months 26 days,6,,,30001,"50000
																",5.4,14,Accounting services,[],
"Jūvika, UAB",304719373,LT100012579515,"Jūratė Bujienė, direktorė","J. Basanavičiaus g. 9-5, Kuršėnai, LT-81156 Šiaulių r.",http://uab-juvika-buhalterines-apskaitos-paslaugos.mozello.lt/,Pirmadienis - penktadienis 9.00 - 17.00,3116440,,"2,500.00 €",3 years 3 months 9 days,3,,,5001,"10000
																",8.0,8,Accounting services,[],https://www.facebook.com/buhalterineapskaitakursenai/
"Mividos kompanija, UAB",304485671,LT100010942616,"Vida Mikulienė, direktorė","Dubingių g. 1A-12, LT-49362 Kaunas",http://www.mividoskompanija.lt,,2942421,2021-01: 3 cars (owns),"5,000.00 €",3 years 11 months 13 days,3,,,50001,"100000
																",7.8,4,Accounting services,[],
"Pomus, UAB",302503416,,Andrius Anusauskas,"Šv. Stepono g. 27B-19, LT-01315 Vilnius",http://www.apskaitosboutique.lt,,2053847,,"2,900.00 €",10 years 10 months 6 days,3,,,0,"5000
																",9.4,5,Accounting services,[],
"RM FINANSAI, UAB",303029444,,Martynas Stirblys,"Naugarduko g. 91-416, LT-03160 Vilnius",http://www.rmfinansai.lt,,2208384,,"2,896.00 €",7 years 11 months 6 days,,,,0,"5000
																",7.3,14,Accounting services,[],
"Skaitlė, UAB",304035208,LT100009388015,"Lolita Keraitienė, direktorė","Gėlių g. 8A, LT-55163 Jonava",http://skaitle.lt,,2331120,,"2,500.00 €",5 years 10 months 2 days,3,,,50001,"100000
																",7.5,20,Accounting services,[],
"UAB ""Vanema""",302433747,,"Renata Salmanienė, direktorė","J. Elisono g. 37, LT-37451 Panevėžys",,,2029959,,"2,896.00 €",11 years 5 months 18 days,4,417.00 € (2021-01),370.98 € (2021-01),30001,"50000
																",9.3,7,Accounting services,[],
"Verslo kodas, UAB",300531502,LT100002800610,"Bronislava Žukauskienė, direktorė","Dvaro g. 5, Paliūniškis, LT-38440 Panevėžio r.",,I-V: 08.00-17.00,237694,,"2,896.00 €",15 years 1 month 2 days,9,904.33 € (2021-01),"1,308.56 € (2021-01)",50001,"100000
																",4.9,37,Accounting services,[],
Viešosios įstaigos Lietuvos žemės ūkio konsultavimo tarnybos Tiksliojo ūkininkavimo paslaugų ir kompetencijų centras,302597643,,Lukas Šapranauskas,"Stoties g. 5, Akademija, LT-58343 Kėdainių r.",http://www.lzukt.lt,I-V 08:00-12:00 ir 13:00-17:00,2094608,,,10 years 5 days,6,"2,350.25 € (2021-01)","2,978.93 € (2021-01)",,,6.8,4,Accounting services,[],
"UAB ""Accounting LT""",302818166,,"Akvilė Ivanauskaitė, direktorė","Karaliaučiaus g. 6-204, LT-06201 Vilnius",http://www.accountinglt.lt,9.00 iki 18.00,2171369,2021-01: 1 car (uses),"2,896.20 €",8 years 7 months 23 days,2,,,30001,"50000
																",7.0,28,Accounting services,[],
"Buhalteriniai darbai, UAB",121528710 (old code 2152871),,Regina Bundzinskienė,"Eitminų g. 20-41, LT-12145 Vilnius",http://www.buhalteriniaidarbai.lt,,4371,,"2,896.00 €",28 years 6 months 15 days,,,,0,"5000
																",5.4,7,Accounting services,[],
"Daiskaita, MB",305302429,,"Dainora Zeveckė, direktorė","Žiedo g. 3, Šakviečio k., LT-73355 Tauragė",,,3503030,2021-01: 1 car (owns),,1 year 4 months 8 days,,,,,,9.4,16,Accounting services,[],https://www.facebook.com/daiskaita/
"Danilla, MB",303393597,LT100008849919,"Paulius Danila, direktorius","Šiaurės pr. 14-1, LT-49154 Kaunas",http://www.danilla.lt,,2297356,2021-01: 2 cars (uses),,6 years 5 months 16 days,3,,,50001,"100000
																",8.4,34,Accounting services,[],
